# decoded solutions
Answer 1: x1=1, x2=3, x3=2
Answer 198: x1=1, x2=3, x3=2
Answer 199: x1=3, x2=1, x3=2
Answer 200: x1=3, x2=1, x3=2
Answer 201: x1=1, x2=3, x3=2
Answer 202: x1=3, x2=1, x3=2
Answer 203: x1=1, x2=3, x3=2
Answer 204: x1=3, x2=1, x3=2
Answer 205: x1=1, x2=3, x3=2
Answer 206: x1=1, x2=3, x3=2
Answer 207: x1=3, x2=1, x3=2
Answer 208: x1=3, x2=1, x3=2
Answer 209: x1=1, x2=3, x3=2
Answer 210: x1=3, x2=1, x3=2
Answer 211: x1=1, x2=3, x3=2
Answer 212: x1=3, x2=1, x3=2
Answer 213: x1=1, x2=3, x3=2
Answer 214: x1=1, x2=3, x3=2
Answer 215: x1=3, x2=1, x3=2
Answer 216: x1=3, x2=1, x3=2
Answer 217: x1=1, x2=3, x3=2
Answer 218: x1=3, x2=1, x3=2
Answer 219: x1=1, x2=3, x3=2
Answer 220: x1=3, x2=1, x3=2
Answer 221: x1=1, x2=3, x3=2
Answer 222: x1=1, x2=3, x3=2
Answer 223: x1=3, x2=1, x3=2
Answer 224: x1=3, x2=1, x3=2
Answer 225: x1=1, x2=3, x3=2
Answer 226: x1=3, x2=1, x3=2
Answer 227: x1=1, x2=3, x3=2
Answer 228: x1=3, x2=1, x3=2
Answer 229: x1=1, x2=3, x3=2
Answer 230: x1=1, x2=3, x3=2
Answer 231: x1=3, x2=1, x3=2
Answer 232: x1=3, x2=1, x3=2
Answer 233: x1=1, x2=3, x3=2
Answer 234: x1=3, x2=1, x3=2
Answer 235: x1=1, x2=3, x3=2
Answer 236: x1=3, x2=1, x3=2
Answer 237: x1=1, x2=3, x3=2
Answer 238: x1=1, x2=3, x3=2
Answer 239: x1=3, x2=1, x3=2
Answer 240: x1=3, x2=1, x3=2
Answer 241: x1=1, x2=3, x3=2
Answer 242: x1=3, x2=1, x3=2
Answer 243: x1=1, x2=3, x3=2
Answer 244: x1=3, x2=1, x3=2
Answer 245: x1=1, x2=3, x3=2
Answer 246: x1=1, x2=3, x3=2
Answer 247: x1=3, x2=1, x3=2
Answer 248: x1=3, x2=1, x3=2
Answer 249: x1=1, x2=3, x3=2
Answer 250: x1=3, x2=1, x3=2
Answer 251: x1=1, x2=3, x3=2
Answer 252: x1=3, x2=1, x3=2
Answer 253: x1=1, x2=3, x3=2
Answer 254: x1=1, x2=3, x3=2
Answer 255: x1=3, x2=1, x3=2
Answer 256: x1=3, x2=1, x3=2
Answer 257: x1=1, x2=3, x3=2
Answer 258: x1=3, x2=1, x3=2
Answer 259: x1=1, x2=3, x3=2
Answer 260: x1=3, x2=1, x3=2
Answer 261: x1=1, x2=3, x3=2
Answer 262: x1=1, x2=3, x3=2
Answer 263: x1=3, x2=1, x3=2
Answer 264: x1=3, x2=1, x3=2
Answer 265: x1=1, x2=3, x3=2
Answer 266: x1=3, x2=1, x3=2
Answer 267: x1=1, x2=3, x3=2
Answer 268: x1=3, x2=1, x3=2
Answer 269: x1=1, x2=3, x3=2
Answer 270: x1=1, x2=3, x3=2
Answer 271: x1=3, x2=1, x3=2
Answer 272: x1=3, x2=1, x3=2
Answer 273: x1=1, x2=3, x3=2
Answer 274: x1=3, x2=1, x3=2
Answer 275: x1=1, x2=3, x3=2
Answer 276: x1=3, x2=1, x3=2
Answer 277: x1=1, x2=3, x3=2
Answer 278: x1=1, x2=3, x3=2
Answer 279: x1=3, x2=1, x3=2
Answer 280: x1=3, x2=1, x3=2
Answer 281: x1=1, x2=3, x3=2
Answer 282: x1=3, x2=1, x3=2
Answer 283: x1=1, x2=3, x3=2
Answer 284: x1=3, x2=1, x3=2
Answer 285: x1=1, x2=3, x3=2
Answer 286: x1=1, x2=3, x3=2
Answer 287: x1=3, x2=1, x3=2
Answer 288: x1=3, x2=1, x3=2
Answer 289: x1=1, x2=3, x3=2
Answer 290: x1=3, x2=1, x3=2
Answer 291: x1=1, x2=3, x3=2
Answer 292: x1=3, x2=1, x3=2
Answer 293: x1=1, x2=3, x3=2
Answer 294: x1=1, x2=3, x3=2
Answer 295: x1=3, x2=1, x3=2
Answer 296: x1=3, x2=1, x3=2
Answer 297: x1=1, x2=3, x3=2
Answer 298: x1=3, x2=1, x3=2
Answer 299: x1=1, x2=3, x3=2
Answer 300: x1=3, x2=1, x3=2
Answer 301: x1=1, x2=3, x3=2
Answer 302: x1=1, x2=3, x3=2
Answer 303: x1=3, x2=1, x3=2
Answer 304: x1=3, x2=1, x3=2
Answer 305: x1=1, x2=3, x3=2
Answer 306: x1=3, x2=1, x3=2
Answer 307: x1=1, x2=3, x3=2
Answer 308: x1=3, x2=1, x3=2
Answer 309: x1=1, x2=3, x3=2
Answer 310: x1=1, x2=3, x3=2
Answer 311: x1=3, x2=1, x3=2
Answer 312: x1=3, x2=1, x3=2
Answer 313: x1=1, x2=3, x3=2
Answer 314: x1=3, x2=1, x3=2
Answer 315: x1=1, x2=3, x3=2
Answer 316: x1=3, x2=1, x3=2
Answer 317: x1=1, x2=3, x3=2
Answer 318: x1=1, x2=3, x3=2
Answer 319: x1=3, x2=1, x3=2
Answer 320: x1=3, x2=1, x3=2
Answer 321: x1=1, x2=3, x3=2
Answer 322: x1=3, x2=1, x3=2
Answer 323: x1=1, x2=3, x3=2
Answer 324: x1=3, x2=1, x3=2
Answer 325: x1=1, x2=3, x3=2
Answer 326: x1=1, x2=3, x3=2
Answer 327: x1=3, x2=1, x3=2
Answer 328: x1=3, x2=1, x3=2
Answer 329: x1=1, x2=3, x3=2
Answer 330: x1=3, x2=1, x3=2
Answer 331: x1=1, x2=3, x3=2
Answer 332: x1=3, x2=1, x3=2
Answer 333: x1=1, x2=3, x3=2
Answer 334: x1=1, x2=3, x3=2
Answer 335: x1=3, x2=1, x3=2
Answer 336: x1=3, x2=1, x3=2
Answer 337: x1=1, x2=3, x3=2
Answer 338: x1=3, x2=1, x3=2
Answer 339: x1=1, x2=3, x3=2
Answer 340: x1=3, x2=1, x3=2
Answer 341: x1=1, x2=3, x3=2
Answer 342: x1=1, x2=3, x3=2
Answer 343: x1=3, x2=1, x3=2
Answer 344: x1=3, x2=1, x3=2
Answer 345: x1=1, x2=3, x3=2
Answer 346: x1=3, x2=1, x3=2
Answer 347: x1=1, x2=3, x3=2
Answer 348: x1=3, x2=1, x3=2
Answer 349: x1=1, x2=3, x3=2
Answer 350: x1=1, x2=3, x3=2
Answer 351: x1=3, x2=1, x3=2
Answer 352: x1=3, x2=1, x3=2
Answer 353: x1=1, x2=3, x3=2
Answer 354: x1=3, x2=1, x3=2
Answer 355: x1=1, x2=3, x3=2
Answer 356: x1=3, x2=1, x3=2
Answer 357: x1=1, x2=3, x3=2
Answer 358: x1=1, x2=3, x3=2
Answer 359: x1=3, x2=1, x3=2
Answer 360: x1=3, x2=1, x3=2
Answer 361: x1=1, x2=3, x3=2
Answer 362: x1=3, x2=1, x3=2
Answer 363: x1=1, x2=3, x3=2
Answer 364: x1=3, x2=1, x3=2
Answer 365: x1=1, x2=3, x3=2
Answer 366: x1=1, x2=3, x3=2
Answer 367: x1=3, x2=1, x3=2
Answer 368: x1=3, x2=1, x3=2
Answer 369: x1=1, x2=3, x3=2
Answer 370: x1=3, x2=1, x3=2
Answer 371: x1=1, x2=3, x3=2
Answer 372: x1=3, x2=1, x3=2
Answer 373: x1=1, x2=3, x3=2
Answer 374: x1=1, x2=3, x3=2
Answer 375: x1=3, x2=1, x3=2
Answer 376: x1=3, x2=1, x3=2
Answer 377: x1=1, x2=3, x3=2
Answer 378: x1=3, x2=1, x3=2
Answer 379: x1=1, x2=3, x3=2
Answer 380: x1=3, x2=1, x3=2
Answer 381: x1=1, x2=3, x3=2
Answer 382: x1=1, x2=3, x3=2
Answer 383: x1=3, x2=1, x3=2
Answer 384: x1=3, x2=1, x3=2
Answer 385: x1=1, x2=3, x3=2
Answer 386: x1=3, x2=1, x3=2
Answer 387: x1=1, x2=3, x3=2
Answer 388: x1=3, x2=1, x3=2
Answer 389: x1=1, x2=3, x3=2
Answer 390: x1=1, x2=3, x3=2
Answer 391: x1=3, x2=1, x3=2
Answer 392: x1=3, x2=1, x3=2
Answer 393: x1=1, x2=3, x3=2
Answer 394: x1=3, x2=1, x3=2
Answer 395: x1=1, x2=3, x3=2
Answer 396: x1=3, x2=1, x3=2
Answer 397: x1=1, x2=3, x3=2
Answer 398: x1=1, x2=3, x3=2
Answer 399: x1=3, x2=1, x3=2
Answer 400: x1=3, x2=1, x3=2
Answer 401: x1=1, x2=3, x3=2
Answer 402: x1=3, x2=1, x3=2
Answer 403: x1=1, x2=3, x3=2
Answer 404: x1=3, x2=1, x3=2
Answer 405: x1=1, x2=3, x3=2
Answer 406: x1=1, x2=3, x3=2
Answer 407: x1=3, x2=1, x3=2
Answer 408: x1=3, x2=1, x3=2
Answer 409: x1=1, x2=3, x3=2
Answer 410: x1=3, x2=1, x3=2
Answer 411: x1=1, x2=3, x3=2
Answer 412: x1=3, x2=1, x3=2
Answer 413: x1=1, x2=3, x3=2
Answer 414: x1=1, x2=3, x3=2
Answer 415: x1=3, x2=1, x3=2
Answer 416: x1=3, x2=1, x3=2
Answer 417: x1=1, x2=3, x3=2
Answer 418: x1=3, x2=1, x3=2
Answer 419: x1=1, x2=3, x3=2
Answer 420: x1=3, x2=1, x3=2
Answer 421: x1=1, x2=3, x3=2
Answer 422: x1=1, x2=3, x3=2
Answer 423: x1=3, x2=1, x3=2
Answer 424: x1=3, x2=1, x3=2
Answer 425: x1=1, x2=3, x3=2
Answer 426: x1=3, x2=1, x3=2
Answer 427: x1=1, x2=3, x3=2
Answer 428: x1=3, x2=1, x3=2
Answer 429: x1=1, x2=3, x3=2
Answer 430: x1=1, x2=3, x3=2
Answer 431: x1=3, x2=1, x3=2
Answer 432: x1=3, x2=1, x3=2
Answer 433: x1=1, x2=3, x3=2
Answer 434: x1=3, x2=1, x3=2
Answer 435: x1=1, x2=3, x3=2
Answer 436: x1=3, x2=1, x3=2
Answer 437: x1=1, x2=3, x3=2
Answer 438: x1=1, x2=3, x3=2
Answer 439: x1=3, x2=1, x3=2
Answer 440: x1=3, x2=1, x3=2
Answer 441: x1=1, x2=3, x3=2
Answer 442: x1=3, x2=1, x3=2
Answer 443: x1=1, x2=3, x3=2
Answer 444: x1=3, x2=1, x3=2
Answer 445: x1=1, x2=3, x3=2
Answer 446: x1=1, x2=3, x3=2
Answer 447: x1=3, x2=1, x3=2
Answer 448: x1=3, x2=1, x3=2
Answer 449: x1=1, x2=3, x3=2
Answer 450: x1=3, x2=1, x3=2
Answer 451: x1=1, x2=3, x3=2
Answer 452: x1=3, x2=1, x3=2
Answer 453: x1=1, x2=3, x3=2
Answer 454: x1=1, x2=3, x3=2
Answer 455: x1=3, x2=1, x3=2
Answer 456: x1=3, x2=1, x3=2
Answer 457: x1=1, x2=3, x3=2
Answer 458: x1=3, x2=1, x3=2
Answer 459: x1=1, x2=3, x3=2
Answer 460: x1=3, x2=1, x3=2
Answer 461: x1=1, x2=3, x3=2
Answer 462: x1=1, x2=3, x3=2
Answer 463: x1=3, x2=1, x3=2
Answer 464: x1=3, x2=1, x3=2
Answer 465: x1=1, x2=3, x3=2
Answer 466: x1=3, x2=1, x3=2
Answer 467: x1=1, x2=3, x3=2
Answer 468: x1=3, x2=1, x3=2
Answer 469: x1=1, x2=3, x3=2
Answer 470: x1=1, x2=3, x3=2
Answer 471: x1=3, x2=1, x3=2
Answer 472: x1=3, x2=1, x3=2
Answer 473: x1=1, x2=3, x3=2
Answer 474: x1=3, x2=1, x3=2
Answer 475: x1=1, x2=3, x3=2
Answer 476: x1=3, x2=1, x3=2
Answer 477: x1=1, x2=3, x3=2
Answer 478: x1=1, x2=3, x3=2
Answer 479: x1=3, x2=1, x3=2
Answer 480: x1=3, x2=1, x3=2
Answer 481: x1=1, x2=3, x3=2
Answer 482: x1=3, x2=1, x3=2
Answer 483: x1=1, x2=3, x3=2
Answer 484: x1=3, x2=1, x3=2
Answer 485: x1=1, x2=3, x3=2
Answer 486: x1=1, x2=3, x3=2
Answer 487: x1=3, x2=1, x3=2
Answer 488: x1=3, x2=1, x3=2
Answer 489: x1=1, x2=3, x3=2
Answer 490: x1=3, x2=1, x3=2
Answer 491: x1=1, x2=3, x3=2
Answer 492: x1=3, x2=1, x3=2
Answer 493: x1=1, x2=3, x3=2
Answer 494: x1=1, x2=3, x3=2
Answer 495: x1=3, x2=1, x3=2
Answer 496: x1=3, x2=1, x3=2
Answer 497: x1=1, x2=3, x3=2
Answer 498: x1=3, x2=1, x3=2
Answer 499: x1=1, x2=3, x3=2
Answer 500: x1=3, x2=1, x3=2
Answer 501: x1=1, x2=3, x3=2
Answer 502: x1=1, x2=3, x3=2
Answer 503: x1=3, x2=1, x3=2
Answer 504: x1=3, x2=1, x3=2
Answer 505: x1=1, x2=3, x3=2
Answer 506: x1=3, x2=1, x3=2
Answer 507: x1=1, x2=3, x3=2
Answer 508: x1=3, x2=1, x3=2
Answer 509: x1=1, x2=3, x3=2
Answer 510: x1=1, x2=3, x3=2
Answer 511: x1=3, x2=1, x3=2
Answer 512: x1=3, x2=1, x3=2
Answer 513: x1=1, x2=3, x3=2
Answer 514: x1=3, x2=1, x3=2
Answer 515: x1=1, x2=3, x3=2
Answer 516: x1=3, x2=1, x3=2
Answer 517: x1=1, x2=3, x3=2
Answer 518: x1=1, x2=3, x3=2
Answer 519: x1=3, x2=1, x3=2
Answer 520: x1=3, x2=1, x3=2
Answer 521: x1=1, x2=3, x3=2
Answer 522: x1=3, x2=1, x3=2
Answer 523: x1=1, x2=3, x3=2
Answer 524: x1=3, x2=1, x3=2
Answer 525: x1=1, x2=3, x3=2
Answer 526: x1=1, x2=3, x3=2
Answer 527: x1=3, x2=1, x3=2
Answer 528: x1=3, x2=1, x3=2
Answer 529: x1=1, x2=3, x3=2
Answer 530: x1=3, x2=1, x3=2
Answer 531: x1=1, x2=3, x3=2
Answer 532: x1=3, x2=1, x3=2
Answer 533: x1=1, x2=3, x3=2
Answer 534: x1=1, x2=3, x3=2
Answer 535: x1=3, x2=1, x3=2
Answer 536: x1=3, x2=1, x3=2
Answer 537: x1=1, x2=3, x3=2
Answer 538: x1=3, x2=1, x3=2
Answer 539: x1=1, x2=3, x3=2
Answer 540: x1=3, x2=1, x3=2
Answer 541: x1=1, x2=3, x3=2
Answer 542: x1=1, x2=3, x3=2
Answer 543: x1=3, x2=1, x3=2
Answer 544: x1=3, x2=1, x3=2
Answer 545: x1=1, x2=3, x3=2
Answer 546: x1=3, x2=1, x3=2
Answer 547: x1=1, x2=3, x3=2
Answer 548: x1=3, x2=1, x3=2
Answer 549: x1=1, x2=3, x3=2
Answer 550: x1=1, x2=3, x3=2
Answer 551: x1=3, x2=1, x3=2
Answer 552: x1=3, x2=1, x3=2
Answer 553: x1=1, x2=3, x3=2
Answer 554: x1=3, x2=1, x3=2
Answer 555: x1=1, x2=3, x3=2
Answer 556: x1=3, x2=1, x3=2
Answer 557: x1=1, x2=3, x3=2
Answer 558: x1=1, x2=3, x3=2
Answer 559: x1=3, x2=1, x3=2
Answer 560: x1=3, x2=1, x3=2
Answer 561: x1=1, x2=3, x3=2
Answer 562: x1=3, x2=1, x3=2
Answer 563: x1=1, x2=3, x3=2
Answer 564: x1=3, x2=1, x3=2
Answer 565: x1=1, x2=3, x3=2
Answer 566: x1=1, x2=3, x3=2
Answer 567: x1=3, x2=1, x3=2
Answer 568: x1=3, x2=1, x3=2
Answer 569: x1=1, x2=3, x3=2
Answer 570: x1=3, x2=1, x3=2
Answer 571: x1=1, x2=3, x3=2
Answer 572: x1=3, x2=1, x3=2
Answer 573: x1=1, x2=3, x3=2
Answer 574: x1=1, x2=3, x3=2
Answer 575: x1=3, x2=1, x3=2
Answer 576: x1=3, x2=1, x3=2
Answer 577: x1=1, x2=3, x3=2
Answer 578: x1=3, x2=1, x3=2
Answer 579: x1=1, x2=3, x3=2
Answer 580: x1=3, x2=1, x3=2
Answer 581: x1=1, x2=3, x3=2
Answer 582: x1=1, x2=3, x3=2
Answer 583: x1=3, x2=1, x3=2
Answer 584: x1=3, x2=1, x3=2
Answer 585: x1=1, x2=3, x3=2
Answer 586: x1=3, x2=1, x3=2
Answer 587: x1=1, x2=3, x3=2
Answer 588: x1=3, x2=1, x3=2
Answer 589: x1=1, x2=3, x3=2
Answer 590: x1=1, x2=3, x3=2
Answer 591: x1=3, x2=1, x3=2
Answer 592: x1=3, x2=1, x3=2
Answer 593: x1=1, x2=3, x3=2
Answer 594: x1=3, x2=1, x3=2
Answer 595: x1=1, x2=3, x3=2
Answer 596: x1=3, x2=1, x3=2
Answer 597: x1=1, x2=3, x3=2
Answer 598: x1=1, x2=3, x3=2
Answer 599: x1=3, x2=1, x3=2
Answer 600: x1=3, x2=1, x3=2
Answer 601: x1=1, x2=3, x3=2
Answer 602: x1=3, x2=1, x3=2
Answer 603: x1=1, x2=3, x3=2
Answer 604: x1=3, x2=1, x3=2
Answer 605: x1=1, x2=3, x3=2
Answer 606: x1=1, x2=3, x3=2
Answer 607: x1=3, x2=1, x3=2
Answer 608: x1=3, x2=1, x3=2
Answer 609: x1=1, x2=3, x3=2
Answer 610: x1=3, x2=1, x3=2
Answer 611: x1=1, x2=3, x3=2
Answer 612: x1=3, x2=1, x3=2
Answer 613: x1=1, x2=3, x3=2
Answer 614: x1=1, x2=3, x3=2
Answer 615: x1=3, x2=1, x3=2
Answer 616: x1=3, x2=1, x3=2
Answer 617: x1=1, x2=3, x3=2
Answer 618: x1=3, x2=1, x3=2
Answer 619: x1=1, x2=3, x3=2
Answer 620: x1=3, x2=1, x3=2
Answer 621: x1=1, x2=3, x3=2
Answer 622: x1=1, x2=3, x3=2
Answer 623: x1=3, x2=1, x3=2
Answer 624: x1=3, x2=1, x3=2
Answer 625: x1=1, x2=3, x3=2
Answer 626: x1=3, x2=1, x3=2
Answer 627: x1=1, x2=3, x3=2
Answer 628: x1=3, x2=1, x3=2
Answer 629: x1=1, x2=3, x3=2
Answer 630: x1=1, x2=3, x3=2
Answer 631: x1=3, x2=1, x3=2
Answer 632: x1=3, x2=1, x3=2
Answer 633: x1=1, x2=3, x3=2
Answer 634: x1=3, x2=1, x3=2
Answer 635: x1=1, x2=3, x3=2
Answer 636: x1=3, x2=1, x3=2
Answer 637: x1=1, x2=3, x3=2
Answer 638: x1=1, x2=3, x3=2
Answer 639: x1=3, x2=1, x3=2
Answer 640: x1=3, x2=1, x3=2
Answer 641: x1=1, x2=3, x3=2
Answer 642: x1=3, x2=1, x3=2
Answer 643: x1=1, x2=3, x3=2
Answer 644: x1=3, x2=1, x3=2
Answer 645: x1=1, x2=3, x3=2
Answer 646: x1=1, x2=3, x3=2
Answer 647: x1=3, x2=1, x3=2
Answer 648: x1=3, x2=1, x3=2
Answer 649: x1=1, x2=3, x3=2
Answer 650: x1=3, x2=1, x3=2
Answer 651: x1=1, x2=3, x3=2
Answer 652: x1=3, x2=1, x3=2
Answer 653: x1=1, x2=3, x3=2
Answer 654: x1=1, x2=3, x3=2
Answer 655: x1=3, x2=1, x3=2
Answer 656: x1=3, x2=1, x3=2
Answer 657: x1=1, x2=3, x3=2
Answer 658: x1=3, x2=1, x3=2
Answer 659: x1=1, x2=3, x3=2
Answer 660: x1=3, x2=1, x3=2
Answer 661: x1=1, x2=3, x3=2
Answer 662: x1=1, x2=3, x3=2
Answer 663: x1=3, x2=1, x3=2
Answer 664: x1=3, x2=1, x3=2
